Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
ground_link,-13.932,18.075,30.466,0,0,0,5172.5,701310,-3221.3,-227660,1331400,-20392,638530,0,0,0,0,0,0,package://KDARPA/meshes/ground_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/ground_link.STL,,first_floor-1/ground_out-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ground_in_Link,21.815,0.60401,-1.9772,0,0,0,10829,825040,506.66,-437810,2203700,2738.4,1396800,0,0,0,0,0,0,package://KDARPA/meshes/ground_in_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/ground_in_Link.STL,,first_floor-1/ground_inner-2,Origin_ground_joint,,ground_joint,fixed,-36.18,-26.871,16.246,1.5708,0,0,ground_link,0,0,0,,,,,,,,,,,,
window_1_Link,7.1054E-15,0,0,0,0,0,58.464,16.058,-4.7705E-15,2.2263E-14,35.047,-2.4395E-16,51.023,0,0,0,0,0,0,package://KDARPA/meshes/window_1_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/window_1_Link.STL,,closed_window-4,Origin_window_1_joint,,window_1_joint,fixed,3.29,1.85,0.04,0,0,0,ground_in_Link,0,0,0,,,,,,,,,,,,
window_2_Link,3.5527E-15,0,0,0,0,0,58.464,16.058,-4.3368E-16,-3.998E-15,35.047,-4.0658E-16,51.023,0,0,0,0,0,0,package://KDARPA/meshes/window_2_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/window_2_Link.STL,,closed_window-5,Origin_window_2_joint,,window_2_joint,fixed,9.39,1.85,0.04,0,0,0,ground_in_Link,0,0,0,,,,,,,,,,,,
window_3_Link,0,0,0,0,0,0,58.464,16.058,-3.1292E-16,-8.5354E-15,35.047,-4.5087E-16,51.023,0,0,0,0,0,0,package://KDARPA/meshes/window_3_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/window_3_Link.STL,,closed_window-6,Origin_window_3_joint,,window_3_joint,fixed,15.49,1.85,0.04,0,0,0,ground_in_Link,0,0,0,,,,,,,,,,,,
indoor_fence_Link,0.0058815,-1.8178E-05,-4.9543E-06,0,0,0,23.724,4.7495,-0.00032267,5.6344E-05,17.883,-2.375E-06,22.626,0,0,0,0,0,0,package://KDARPA/meshes/indoor_fence_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/indoor_fence_Link.STL,,first_floor-1/indoor_fence-1,Origin_indoor_fence_joint,Axis_indoor_fence_joint,indoor_fence_joint,fixed,21.32,0.759999999999998,-3.61,0,0,0,ground_in_Link,0,0,0,,,,,,,,,,,,
window_4_Link,3.5527E-15,-3.5527E-15,-1.7764E-15,0,0,0,58.464,16.058,3.9031E-15,-2.8393E-15,35.047,-2.0329E-17,51.023,0,0,0,0,0,0,package://KDARPA/meshes/window_4_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/window_4_Link.STL,,closed_window-11,Origin_window_4_joint,Axis_window_4_joint,window_4_joint,fixed,24.16,1.85,3.31000000000001,0,-1.5707963267949,0,ground_in_Link,0,0,0,,,,,,,,,,,,
window_5_Link,0,-3.5527E-15,0,0,0,0,58.464,16.058,4.3368E-15,-1.8702E-14,35.047,-2.9816E-16,51.023,0,0,0,0,0,0,package://KDARPA/meshes/window_5_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/window_5_Link.STL,,closed_window-9,Origin_window_5_joint,Axis_window_5_joint,window_5_joint,fixed,24.16,1.85000000000004,9.80999999999999,0,-1.5707963267949,0,ground_in_Link,0,0,0,,,,,,,,,,,,
window_6_Link,-1.7764E-15,-3.5527E-15,-1.7764E-15,0,0,0,58.464,16.058,5.2871E-15,-5.3939E-15,35.047,2.6587E-16,51.023,0,0,0,0,0,0,package://KDARPA/meshes/window_6_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/window_6_Link.STL,,closed_window-14,Origin_window_6_joint,Axis_window_6_joint,window_6_joint,fixed,22.13,0,-12.943,3.14159265358979,0,3.14159265358979,ground_in_Link,0,0,0,,,,,,,,,,,,
stair_1_link,22.143,1.428,-9.7626,0,0,0,7454.1,30041,-3763.4,-248.04,37239,-975.09,14271,0,0,0,0,0,0,package://KDARPA/meshes/stair_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://KDARPA/meshes/stair_1_link.STL,,stair-1/staircase-1,Origin_stair_1_joint,Axis_stair_1_joint,stair_1_joint,fixed,0.00999999999999801,-2.98999999999999,0,0,0,0,ground_in_Link,0,0,0,,,,,,,,,,,,
handle_1_Link,20.185,2.3951,-8.662,0,0,0,109.15,265.01,-9.9549,1.3613,180.2,9.7341,88.343,0,0,0,0,0,0,package://KDARPA/meshes/handle_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://KDARPA/meshes/handle_1_Link.STL,,stair-1/stair_handle-1,Origin_handle_1_joint,Axis_handle_1_joint,handle_1_joint,fixed,1.94,0,0.000137515459705639,0,0,0,stair_1_link,0,0,0,,,,,,,,,,,,
base_Link,21.914,0.14966,-1.538,0,0,0,200210,12465000,-117.22,-7652700,35308000,354.57,22847000,0,0,0,0,0,0,package://KDARPA/meshes/base_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/base_Link.STL,,first_floor-1/base-1,Origin_base_joint,,base_joint,fixed,-36.18,-26.871,15.946,1.5708,0,0,ground_link,0,0,0,,,,,,,,,,,,
outdoor_left_wall,11.359,2,-4.891,0,0,0,1100.4,1662.5,-6.6145E-11,1426.2,66546,1.0102E-11,67818,0,0,0,0,0,0,package://KDARPA/meshes/outdoor_left_wall.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/outdoor_left_wall.STL,,left_wall-1,Origin_outdoor_left_wall_joint,,outdoor_left_wall_joint,fixed,-51.18,-34.981,15.946,1.5708,0,0,ground_link,0,0,0,,,,,,,,,,,,
outdoor_right_wall,12.49,2,-0.015,0,0,0,1000,1333.3,0,1.4456E-15,52083,1.7223E-29,53417,0,0,0,0,0,0,package://KDARPA/meshes/outdoor_right_wall.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/outdoor_right_wall.STL,,right_wall-1,Origin_outdoor_right_wall_joint,,outdoor_right_wall_joint,fixed,-51.18,-34.981,15.946,1.5708,0,0,ground_link,0,0,0,,,,,,,,,,,,
front_door_link,1.8,1.2792,0.20339,0,0,0,69.384,48.209,-1.8692E-13,-9.7271E-14,88.595,3.9407,126.72,0,0,0,0,0,0,package://KDARPA/meshes/front_door_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/front_door_link.STL,,front_door-1,Origin_front_door_joint,,front_door_joint,fixed,-15.69,-26.891,16.256,1.5708,0,0,ground_link,0,0,0,,,,,,,,,,,,
side_door_link,0.9,1.0334,-0.35859,0,0,0,115.32,53.289,5.4685E-13,-2.7142E-13,88.705,-5.1016,123.12,0,0,0,0,0,0,package://KDARPA/meshes/side_door_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/side_door_link.STL,,side_door-1,Origin_side_door_joint,,side_door_joint,fixed,-12,-42.988,16.256,1.5708,0,1.5708,ground_link,0,0,0,,,,,,,,,,,,
second_out_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://KDARPA/meshes/second_out_Link.STL,1,1,1,1,0,0,0,0,0,0,package://KDARPA/meshes/second_out_Link.STL,,second_floor-1/second_out-1,Origin_second_out_joint,Axis_second_out_joint,second_out_joint,fixed,-36.1795802683966,-26.8811318137481,19.2456664197819,1.5707963267949,0,0,ground_link,0,0,0,,,,,,,,,,,,
second_in_Link,23.789,0.87603,-2.3459,0,0,0,14359,783000,-23710,-427660,2360100,-5059.5,1605700,0,0,0,0,0,0,package://KDARPA/meshes/second_in_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://KDARPA/meshes/second_in_Link.STL,,second_floor-1/second_inner-1,Origin_second_in_joint,Axis_second_in_joint,second_in_joint,fixed,0,0,0,0,0,0,second_out_Link,0,0,0,,,,,,,,,,,,
